Area,No. of Bedrooms,CarParking,LiftAvailable,Resale,Location,house_type,gated_community,Price
1822,3,No,Yes,Yes,West Marredpally,Individual,Yes,15.955576839107596
1270,1,No,Yes,No,Puppalaguda,Apartment,Yes,15.687312888712007
1300,1,No,Yes,Yes,Trimalgherry,Apartment,Yes,15.319588176962744
1600,3,No,Yes,Yes,Habsiguda,Apartment,Yes,15.955576839107596
1818,3,Yes,Yes,Yes,Sanath Nagar,Individual,Yes,16.489659276356317
1282,2,No,Yes,No,Darga Khaliz Khan,Apartment,Yes,15.894952224644102
1830,3,No,Yes,No,Manikonda,Individual,Yes,15.967272877502799
1815,3,Yes,Yes,No,Kokapet,Individual,Yes,16.02081363836889
1400,1,No,Yes,No,Puppalaguda,Apartment,Yes,15.717618233614914
1220,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.663020199926065
1650,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.964944588014255
1680,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.98296309143568
1555,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.905644852853387
1685,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.985934861485168
1520,3,Yes,Yes,No,Nizampet,Apartment,Yes,15.882879644928051
1225,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.667110184534204
1795,3,Yes,Yes,No,Nizampet,Apartment,Yes,16.049174312627095
1435,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.82533416677556
1430,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.821843762304367
1265,2,Yes,Yes,No,Nizampet,Apartment,Yes,15.699241457753018
2080,3,Yes,Yes,No,Manikonda,Individual,Yes,16.15731646026544
2092,3,Yes,Yes,No,Manikonda,Individual,Yes,16.15731646026544
1370,2,Yes,Yes,No,Manikonda,Apartment,Yes,15.739759356223798
2232,3,Yes,Yes,No,Manikonda,Individual,Yes,16.222455756372646
2063,3,Yes,Yes,No,Manikonda,Individual,Yes,16.14765455028724
1400,2,Yes,Yes,No,Manikonda,Apartment,Yes,15.76142084987672
1865,3,Yes,Yes,No,Manikonda,Individual,Yes,16.048209630732753
2270,3,Yes,Yes,No,Manikonda,Individual,Yes,16.240313283682568
1896,3,Yes,Yes,No,Manikonda,Individual,Yes,16.064694979716432
3031,4,Yes,Yes,No,Hitech City,Individual,Yes,17.05810294851229
1702,3,No,No,No,Manikonda,Apartment,No,15.956752618058363
1350,2,No,No,No,Manikonda,Apartment,No,15.72505321099685
1525,3,No,No,No,Manikonda,Apartment,No,15.846943011605282
1225,2,No,No,No,Manikonda,Apartment,No,15.627889477660357
1728,3,No,No,No,Manikonda,Apartment,No,15.971913256520972
1725,3,No,No,No,Manikonda,Apartment,No,15.970175636823718
1300,2,No,No,No,Manikonda,Apartment,No,15.687312888712007
1600,3,No,No,No,Manikonda,Apartment,No,15.894952224644102
1200,2,No,No,No,Manikonda,Apartment,No,15.607270193858982
1640,3,No,Yes,Yes,Kothaguda,Apartment,Yes,16.108045416114912
1830,3,No,Yes,No,Kompally,Individual,Yes,15.923903921593878
1835,3,No,Yes,No,Kompally,Individual,Yes,15.926571883399564
1570,3,No,No,No,Tellapur,Apartment,No,15.775605482856603
1570,3,No,No,No,Tellapur,Apartment,No,16.108045416114912
1895,3,Yes,Yes,No,Sanath Nagar,Individual,Yes,16.58809934270405
1600,3,No,No,Yes,Manikonda,Apartment,No,15.894952224644102
1140,2,Yes,Yes,No,Kukatpally,Apartment,No,15.547873994101591
1150,2,Yes,Yes,No,Kukatpally,Apartment,No,15.55667841639182
1530,3,Yes,Yes,No,Kukatpally,Apartment,Yes,15.842078741824064
1230,2,No,Yes,No,Nizampet,Apartment,Yes,15.607103513329665
1300,2,No,No,No,Manikonda,Apartment,No,15.607270193858982
1050,2,No,Yes,No,Gachibowli,Individual,No,14.962278206181388
1665,3,No,Yes,No,Gachibowli,Individual,Yes,15.660020750680612
1250,2,No,No,No,Gachibowli,Individual,No,15.37323424532667
1250,2,No,Yes,No,Gachibowli,Individual,Yes,15.37323424532667
1900,3,No,No,No,Gachibowli,Individual,No,15.91573476125562
1900,3,No,Yes,No,Gachibowli,Individual,Yes,15.91573476125562
1815,2,No,Yes,No,Gachibowli,Individual,Yes,15.869890797220993
1250,2,No,Yes,No,Gachibowli,Individual,Yes,15.496897155826705
1530,3,No,Yes,No,Moosapet,Apartment,Yes,15.816990693309524
1530,3,No,Yes,No,Balanagar,Apartment,Yes,15.816990693309524
3380,4,Yes,Yes,No,Kokapet,Individual,Yes,16.82119321187638
1875,3,Yes,Yes,No,Kokapet,Individual,Yes,16.195056784687036
2540,3,Yes,Yes,No,Kokapet,Individual,Yes,16.536806051605975
2630,4,Yes,Yes,No,Kokapet,Individual,Yes,16.536806051605975
3380,4,Yes,Yes,Yes,Kokapet,Individual,Yes,16.88356353960952
2700,3,No,Yes,No,Manikonda,Individual,Yes,16.300417291085605
1792,3,Yes,Yes,Yes,Tellapur,Apartment,Yes,16.118095750958314
1673,3,Yes,Yes,Yes,Tellapur,Apartment,Yes,16.06680246183392
1665,3,Yes,Yes,No,Narsingi,Apartment,Yes,16.185754392890075
1640,3,Yes,Yes,No,Narsingi,Apartment,Yes,16.185754392890075
1640,3,Yes,Yes,No,Narsingi,Apartment,Yes,16.185754392890075
1665,3,No,Yes,Yes,raidurgam,Apartment,Yes,16.257857680289995
2200,3,No,No,Yes,Banjara Hills,Individual,No,16.648723960844016
1170,2,No,No,No,Pragathi Nagar Kukatpally,Apartment,No,15.201805169084134
1600,4,No,Yes,Yes,Banjara Hills,Individual,Yes,15.955576839107596
1644,3,No,No,No,Miyapur,Apartment,No,15.967272877502799
1644,3,No,No,No,Miyapur,Apartment,No,15.967156591685619
1687,3,No,No,No,Miyapur,Apartment,No,16.001337202732923
1650,3,No,No,No,Miyapur,Apartment,No,15.967156591685619
1554,3,No,No,No,Miyapur,Apartment,No,15.931645583580584
1684,3,No,No,No,Miyapur,Apartment,No,15.967040292344475
1650,3,No,No,No,Miyapur,Apartment,No,16.001337202732923
970,2,No,No,No,Murad Nagar,Apartment,No,15.250595321348806
2240,3,No,Yes,Yes,Tellapur,Individual,Yes,16.118095750958314
2240,3,No,Yes,No,Tellapur,Individual,Yes,16.118095750958314
1100,2,No,No,No,Nizampet,Apartment,No,15.29711532616119
1600,3,No,Yes,No,Chandanagar,Apartment,Yes,15.874749519877602
1150,2,No,Yes,No,Hitech City,Individual,No,15.967272877502799
1415,3,No,Yes,No,Manikonda,Apartment,Yes,15.732433317205148
1980,3,No,No,No,Banjara Hills,Individual,No,16.733281344102604
1200,2,No,Yes,No,Chandanagar,Apartment,No,15.587067489942822
1905,3,Yes,Yes,No,Kukatpally,Individual,Yes,16.108651293079234
1925,3,Yes,Yes,No,Kukatpally,Individual,Yes,16.118095750958314
1482,3,No,Yes,No,Uppal Kalan,Apartment,Yes,15.637961036142334
1100,2,No,Yes,No,Nizampet,Apartment,No,15.150511887854474
1800,3,No,No,No,East Marredpally,Apartment,No,16.257857680289995
1800,3,No,No,No,East Marredpally,Apartment,No,16.300417291085605
1105,2,No,Yes,No,Mallampet,Apartment,No,15.350440633694094
1730,3,No,No,No,Kukatpally,Apartment,No,16.222455756372646
1100,2,No,Yes,No,Aminpur,Apartment,No,15.29711532616119
1100,2,No,Yes,No,Aminpur,Apartment,No,15.29711532616119
1100,2,No,Yes,No,Aminpur,Apartment,No,15.29711532616119
1100,2,No,Yes,No,Aminpur,Apartment,No,15.29711532616119
1165,2,Yes,Yes,No,Kondapur,Individual,No,15.875641978546838
1100,2,No,Yes,No,Aminpur,Apartment,No,15.29711532616119
1535,3,Yes,Yes,No,Kondapur,Individual,Yes,16.118095750958314
1110,2,No,Yes,No,Aminpur,Apartment,No,15.29711532616119
1278,2,No,Yes,No,Manikonda,Apartment,Yes,15.687312888712007
1406,3,No,Yes,No,Attapur,Apartment,Yes,15.830413711839864
1190,2,No,Yes,No,Mallapur,Apartment,No,15.687312888712007
1215,2,No,Yes,No,Pragathi Nagar Kukatpally,Apartment,Yes,15.483217567201578
1770,3,Yes,Yes,No,Kondapur,Individual,Yes,16.185754392890075
1210,2,No,Yes,No,Alwal,Apartment,Yes,15.392425485304363
1010,2,No,No,No,Gajularamaram,Apartment,No,15.328878221814943
1620,3,No,Yes,No,Serilingampally,Apartment,Yes,15.90737474309945
1555,3,No,Yes,No,Gajularamaram,Apartment,Yes,15.751514805179436
1190,2,No,Yes,No,Kukatpally,Apartment,No,15.775464487021523
1730,3,No,Yes,No,Kukatpally,Apartment,Yes,16.222455756372646
1165,2,Yes,Yes,No,Kondapur,Individual,No,15.795131902483435
1670,3,No,Yes,No,East Marredpally,Apartment,Yes,16.118095750958314
1350,3,Yes,Yes,Yes,Hitech City,Individual,Yes,16.380459992348886
1836,3,No,Yes,No,Serilingampally,Individual,Yes,16.001561947061912
1970,3,No,No,Yes,West Marredpally,Individual,No,16.52356082573315
2000,3,Yes,Yes,No,Kukatpally,Individual,Yes,16.300417291085605
1210,2,Yes,Yes,No,Kondapur,Individual,Yes,15.862429037070772
1535,3,Yes,Yes,No,Kondapur,Individual,Yes,16.093803060848288
1315,2,Yes,Yes,No,Kondapur,Individual,Yes,15.955576839107596
680,1,No,No,No,AS Rao Nagar,Apartment,No,14.731801689838349
1200,2,No,No,No,Malkajgiri,Apartment,No,15.919644834185693
1735,3,No,Yes,No,Kokapet,Individual,Yes,16.195056784687036
1889,3,Yes,Yes,No,Narsingi,Individual,Yes,16.100135427393578
1220,2,No,Yes,No,Alwal,Apartment,Yes,15.400655982747342
1920,3,No,No,No,Miyapur,Individual,No,16.116494469751597
2700,4,No,No,Yes,West Marredpally,Individual,No,17.034386422832473
1300,3,No,No,Yes,Mettuguda,Apartment,No,15.50190969671967
2100,3,No,Yes,Yes,Banjara Hills,Individual,Yes,16.52356082573315
1920,3,No,Yes,No,Miyapur,Individual,Yes,16.116494469751597
1925,3,No,Yes,No,Miyapur,Individual,Yes,16.118095750958314
1885,2,Yes,Yes,No,Kondapur,Individual,Yes,16.283610174181653
1010,2,No,Yes,No,Gajularamaram,Apartment,No,15.328878221814943
1695,3,No,Yes,No,Kukatpally,Apartment,Yes,16.204273438942487
1090,2,No,Yes,No,Kukatpally,Apartment,No,15.775464487021523
2200,3,No,Yes,No,Jubilee Hills,Individual,Yes,16.801192546169812
1521,3,No,Yes,No,Kondapur,Individual,Yes,15.843658936835498
2490,3,No,Yes,Yes,Kokapet,Individual,Yes,16.705882371415992
1675,3,Yes,Yes,No,Narsingi,Apartment,Yes,16.325109901643454
1675,3,Yes,Yes,No,Narsingi,Apartment,Yes,16.325109901643454
1260,2,No,No,No,Nizampet,Apartment,No,15.520258832020865
1105,2,No,No,No,Nizampet,Apartment,No,15.123843647884685
1200,2,No,No,No,Nizampet,Apartment,No,15.394489469099211
900,2,No,No,Yes,Begumpet,Apartment,No,15.319588176962744
1710,3,No,No,Yes,Malkajgiri,Apartment,No,15.843658936835498
1242,3,No,Yes,Yes,Sri Nagar Colony,Apartment,Yes,15.967272877502799
1705,3,No,No,Yes,Malkajgiri,Apartment,No,15.830413711839864
1050,2,No,No,Yes,Malkajgiri,Apartment,No,15.46416937585933
1225,3,No,Yes,No,Mehdipatnam,Apartment,Yes,15.555976908243359
1675,3,No,Yes,No,Venkat Nagar Colony,Apartment,Yes,16.195056784687036
1945,3,No,No,No,Kokapet,Individual,No,16.380459992348886
1000,2,No,Yes,No,Nizampet,Apartment,No,15.11023799953124
1150,2,No,Yes,No,Hitech City,Individual,No,15.970175636823718
1330,3,No,Yes,No,Kondakal,Apartment,Yes,15.830413711839864
2250,3,No,No,Yes,Kondapur,Individual,No,16.811242881518265
2240,3,No,No,No,Tellapur,Individual,No,16.118095750958314
